country,year,volume
Chile,1989,29
Chile,1990,9996
Chile,1991,14037
Chile,1992,23164
Chile,1993,28810
Chile,1994,24473
Chile,1995,47146
Chile,1996,63706
Chile,1997,74296
Chile,1998,99611
Chile,1999,92344
Chile,2000,139290
Chile,2001,186729
Chile,2002,218633
Chile,2003,237976
Chile,2004,238138
Chile,2005,243848
Chile,2006,223049
Chile,2007,230852
Chile,2008,212759
Chile,2009,128229
Chile,2010,61416
Chile,2011,120387
Chile,2012,206177
Chile,2013,239624
Chile,2014,279026
Chile,2015,284643
Chile,2016,279459
Chile,2017,297793
Chile,2018,353571
Canada,1989,29
Canada,1990,10174
Canada,1991,18777
Canada,1992,23051
Canada,1993,31322
Canada,1994,41760
Canada,1995,49687
Canada,1996,52929
Canada,1997,79061
Canada,1998,90616
Canada,1999,98148
Canada,2000,106758
Canada,2001,138030
Canada,2002,161095
Canada,2003,119089
Canada,2004,115650
Canada,2005,148197
Canada,2006,165642
Canada,2007,155452
Canada,2008,166657
Canada,2009,157620
Canada,2010,168766
Canada,2011,156511
Canada,2012,193026
Canada,2013,148547
Canada,2014,104520
Canada,2015,177550
Canada,2016,189077
Canada,2017,172937
Canada,2018,170701
Norway,1989,3400
Norway,1990,15872
Norway,1991,1502
Norway,1992,1131
Norway,1993,4081
Norway,1994,3485
Norway,1995,5049
Norway,1996,4348
Norway,1997,3815
Norway,1998,6761
Norway,1999,20871
Norway,2000,18243
Norway,2001,14761
Norway,2002,16057
Norway,2003,19094
Norway,2004,11963
Norway,2005,10648
Norway,2006,15923
Norway,2007,22501
Norway,2008,14402
Norway,2009,60213
Norway,2010,80643
Norway,2011,41557
Norway,2012,31782
Norway,2013,40591
Norway,2014,57896
Norway,2015,82114
Norway,2016,82589
Norway,2017,107224
Norway,2018,119493
United Kingdom,1989,9
United Kingdom,1990,1533
United Kingdom,1991,2611
United Kingdom,1992,704
United Kingdom,1993,525
United Kingdom,1994,1313
United Kingdom,1995,1804
United Kingdom,1996,2985
United Kingdom,1997,3091
United Kingdom,1998,6702
United Kingdom,1999,16647
United Kingdom,2000,14680
United Kingdom,2001,13842
United Kingdom,2002,13335
United Kingdom,2003,27695
United Kingdom,2004,20018
United Kingdom,2005,10786
United Kingdom,2006,17285
United Kingdom,2007,25742
United Kingdom,2008,23376
United Kingdom,2009,37253
United Kingdom,2010,34312
United Kingdom,2011,34970
United Kingdom,2012,29727
United Kingdom,2013,27594
United Kingdom,2014,34070
United Kingdom,2015,27232
United Kingdom,2016,20502
United Kingdom,2017,32067
United Kingdom,2018,29129
Faroe Islands,1989,778
Faroe Islands,1990,1199
Faroe Islands,1991,2854
Faroe Islands,1992,3427
Faroe Islands,1993,1566
Faroe Islands,1994,440
Faroe Islands,1995,44
Faroe Islands,1996,807
Faroe Islands,1997,2026
Faroe Islands,1998,850
Faroe Islands,1999,3842
Faroe Islands,2000,5931
Faroe Islands,2001,1828
Faroe Islands,2002,1836
Faroe Islands,2003,4905
Faroe Islands,2004,1952
Faroe Islands,2005,1262
Faroe Islands,2006,460
Faroe Islands,2007,3082
Faroe Islands,2008,6540
Faroe Islands,2009,23117
Faroe Islands,2010,20886
Faroe Islands,2011,32926
Faroe Islands,2012,25981
Faroe Islands,2013,33127
Faroe Islands,2014,35606
Faroe Islands,2015,27215
Faroe Islands,2016,30949
Faroe Islands,2017,27906
Faroe Islands,2018,23961
China (Mainland),1989,NA
China (Mainland),1990,1
China (Mainland),1991,NA
China (Mainland),1992,NA
China (Mainland),1993,NA
China (Mainland),1994,NA
China (Mainland),1995,53
China (Mainland),1996,NA
China (Mainland),1997,24
China (Mainland),1998,171
China (Mainland),1999,141
China (Mainland),2000,140
China (Mainland),2001,38
China (Mainland),2002,171
China (Mainland),2003,1560
China (Mainland),2004,2656
China (Mainland),2005,5484
China (Mainland),2006,10049
China (Mainland),2007,10544
China (Mainland),2008,13530
China (Mainland),2009,14290
China (Mainland),2010,14447
China (Mainland),2011,9631
China (Mainland),2012,12379
China (Mainland),2013,17785
China (Mainland),2014,17046
China (Mainland),2015,2148
China (Mainland),2016,412
China (Mainland),2017,1730
China (Mainland),2018,1561
Iceland,1989,215
Iceland,1990,2343
Iceland,1991,1513
Iceland,1992,932
