year,crop_code,crop_name,county_code,county_name,harvested_acres,production,price_per_unit,production_unit,total_value
2014,268099,ALMOND HULLS,7,Butte,,42000,120,Tons,5040000
2014,268099,ALMOND HULLS,11,Colusa,,51800,135.02,Tons,6994000
2014,268099,ALMOND HULLS,19,Fresno,,326000,163,Tons,53138000
2014,268099,ALMOND HULLS,21,Glenn,,38500,119.92,Tons,4617000
2014,268099,ALMOND HULLS,29,Kern,,543000,127.14,Tons,69037000
2014,268099,ALMOND HULLS,31,Kings,,43100,150.05,Tons,6467000
2014,268099,ALMOND HULLS,39,Madera,,195000,145.22,Tons,28318000
2014,268099,ALMOND HULLS,47,Merced,,205000,150.8,Tons,30915000
2014,268099,ALMOND HULLS,77,San Joaquin,,136000,145,Tons,19720000
2014,268099,ALMOND HULLS,99,Stanislaus,,346000,150,Tons,51900000
2014,268099,ALMOND HULLS,101,Sutter,,6790,127.84,Tons,868000
2014,268099,ALMOND HULLS,107,Tulare,,97500,152,Tons,14820000
2014,268099,ALMOND HULLS,113,Yolo,,23900,146.82,Tons,3509000
2014,268099,ALMOND HULLS,115,Yuba,,847,127.51,Tons,108000
2014,268099,ALMOND HULLS,991,Sum of Others,,119500,38.27,Tons,4573000
2014,268099,ALMOND HULLS,999,State Total,,2174937,137.95,,300024000
2014,261999,ALMONDS ALL,7,Butte,39200,35700,6751.71,Tons,241036000
2014,261999,ALMONDS ALL,11,Colusa,51800,41400,6742.68,Tons,279147000
2014,261999,ALMONDS ALL,19,Fresno,171000,184000,6792,Tons,1249728000
2014,261999,ALMONDS ALL,21,Glenn,40200,30900,6176.41,Tons,190851000
2014,261999,ALMONDS ALL,29,Kern,199000,201000,7124.87,Tons,1432099000
2014,261999,ALMONDS ALL,31,Kings,19400,21600,7136.11,Tons,154140000
2014,261999,ALMONDS ALL,39,Madera,106000,99600,7457.99,Tons,742816000
2014,261999,ALMONDS ALL,47,Merced,99900,98600,8019.82,Tons,790754000
2014,261999,ALMONDS ALL,77,San Joaquin,59200,68100,8500,Tons,578850000
2014,261999,ALMONDS ALL,95,Solano,3430,2410,5873.86,Tons,14156000
2014,261999,ALMONDS ALL,99,Stanislaus,164000,173000,7800,Tons,1349400000
2014,261999,ALMONDS ALL,101,Sutter,7440,5430,5719.89,Tons,31059000
2014,261999,ALMONDS ALL,103,Tehama,10700,8380,5753.7,Tons,48216000
2014,261999,ALMONDS ALL,107,Tulare,46400,48700,8050,Tons,392035000
2014,261999,ALMONDS ALL,113,Yolo,19900,19900,5397.44,Tons,107409000
2014,261999,ALMONDS ALL,115,Yuba,847,678,7294.99,Tons,4946000
2014,261999,ALMONDS ALL,991,Sum of Others,808,486,10738.07,Tons,5218700
2014,261999,ALMONDS ALL,999,State Total,1039225,1039884,7319.91,,7611860700
2014,333999,ANISE (FENNEL),53,Monterey,699,12000,756,Tons,9072000
2014,333999,ANISE (FENNEL),991,Sum of Others,202,2322,1092.59,Tons,2537000
2014,333999,ANISE (FENNEL),999,State Total,901,14322,810.57,,11609000
2014,483999,APIARY PRODUCTS BEES PACKAGED,11,Colusa,,3500,75.14,Lbs,263000
2014,483999,APIARY PRODUCTS BEES PACKAGED,21,Glenn,,122000,16.63,Lbs,2029000
2014,483999,APIARY PRODUCTS BEES PACKAGED,47,Merced,,67700,18.33,Lbs,1241000
2014,483999,APIARY PRODUCTS BEES PACKAGED,991,Sum of Others,,9660,50,Lbs,483000
2014,483999,APIARY PRODUCTS BEES PACKAGED,999,State Total,,202860,19.8,,4016000
2014,485999,APIARY PRODUCTS BEES QUEEN,11,Colusa,,43500,23.49,Each,1022000
2014,485999,APIARY PRODUCTS BEES QUEEN,21,Glenn,,180000,20.07,Each,3613000
2014,485999,APIARY PRODUCTS BEES QUEEN,47,Merced,,20600,20.05,Each,413000
